rugalmasság, lendület, mozgékonyság|resilience|proficient|meticulous|aplomb
pirulás|blushing|fluency|resonate|vexatious
felháborító, undorító, visszataszító|revolting|pedantic|ambivalence|whimsical
zavarodottság, fejvesztettség |bewildered|erudition|inefficacy|altruistic
kietlen kopár, szomorú, bánatos|dreary|etymology|malleable|capitulate
csüggedt, levert, elkeseredett|despondent|slang|quintessential|despondent
felháborodott, méltatlankodó, ingerült|indignant|lingua franca|reticent|ephemeral
rettenetesen/szörnyen dühös (szleng)|livid|pidgin|ameliorate|fecund
vehemens|vehement|vernacular|cogent|grandiloquent
bosszankodik|cross|patois|epitome|hedonistic
(emberre) flegma, érzéketlen|matter-of-fact|malapropism|ineffable|inefficacious
fáradt, kimerült, elcsigázott|jaded|aphorism|lethargic|languid
fáradt, kimerült, elcsigázott|weary|metaphor|nebulous|mellifluous
megbabonáz, emgigéz|enchant|simile|quandary|noxious
előjön/előhozakodik vmvel|come up with|analogy|supercilious|ostracize
megértet|get across to|hyperbole|unassailable|parsimonious
lehangol/elkedvetlenít|get sb down|oxymoron|belligerent|quotidian
szétjön, leválik|come apart|synecdoche|convivial|redolent
támogat|go along with|epiphany|exonerate|scrupulous
kényelmetlenséget okoz|put out|anachronism|harbinger|tumultuous
átver|take sb in|paradox|insipid|umbrage
lever (érzelem)|get sb down|allegory|nostalgia|viscous
visszavon|take back|alliteration|quotidian|bereft
okoz|bring on|assonance|trepidation|cacophonous
feltartóztat|hold up|consonance|unfettered|disparate
húgyhólyaggyulladás|cystitis|onomatopoeia|benevolent|esoteric
minősített|aggravated|sonnet|copious|flummox
táplál, etet |nourish|stanza|expedient|gregarious
megfelelően|adequately|haiku|homogeneous|hapless
magzat|foetus|elegy|incorrigible|inchoate
nyelőcső|oesophagus|epic|nuanced|jettison
ízletesség, jóízűség|palatability|ballad|repudiate|kowtow
szájpadlás|palate|prose|volatile|languish
gyógyital, főzet|tisane|poetry|capitulate|mawkish
lefaragás; 2. forgács, gyalulási hulladék|shavings|rhyme|effervescent|noisome
bodzavirág|elderflower|meter|hapless|obdurate
citromlikőr|lime cordial|trope|insolent|parsimonious
elpirulás; 2. kiöblítés (wc, csatorna); 3. kihajtás (növény)|flushing|narration|obfuscate|querulous
szivárog; szivárgás|seep|dialogue|sycophant|rambunctious
hám|epidermis|monologue|vehement|serendipity
irha|dermis|soliloquy|bellicose|tenacious
bőralja|hypodermis|antithesis|corpulent|unassailable
fecsegés, locsog valamiről|jabber about|euphemism|exacerbate|verisimilitude
belemerít, belemárt, 2. belemerül vlamibe|immerse|motif|heinous|wily
múló szeszély|fad|symbolism|insidious|avarice
szürcsölve eszik/iszik|slurp|irony|obsequious|bombastic
sár, iszap, latyak, áradmányos/lerakódásos terület|slob|satire|replete|cacophony
lecsavar, legombolyodik|unwind|allegory|taciturn|debilitate
testesség, kövérség|corpulence|foreshadowing|vitriolic|efficacious
csicsereg, csiripel|warble|parody|benign|fastidious
egyenetlenül, lökésszerűen|startlingly|ambiguity|cacophony|garrulous
kiosztott, kiutalt|allotted|genre|desultory|hapless
leteker, felteker, 2. tántorog, 3. „reel” tánc|reel|diction|exemplary|ineffable
unalom|tedium|syntax|haughty|juxtaposition
álmodozás, ábrándozás|reverie|prosody|inscrutable|kindle
élénk, életerős|vivid|rhetorical|obtuse|lethargy
szakértő, ínyenc|cognoscente|critique|reprehensible|meticulous
tulajdonos|proprietor|interpretation|venerable|nefarious
őszintén elmondja|speaks his mind|analysis|bucolic|obfuscate
lelki béke|peace of mind|exposition|deleterious|paradigm
lehord|give him a peace of my mind|ambivalence|facetious|quixotic
lehord|tell sy off|catharsis|iconoclast|resilient
nem tud dönteni 2 dolog között|to be in two minds|dystopian|insipid|serendipity
szóhoz jut|get a word in edgeways|utopian|juxtaposition|transcendent
hidd el nekem|mark my words|subtext|obstreperous|ubiquitous
képzeletben|in my mind’s eye|verisimilitude|reprobate|veracity
hirtelen jó/ragyogó ötlet|brainwave|bildungsroman|verbose|wistful
elvonja/eltereli vknek a figyelmét vmről|take your mind off|oxymoron|candor|zealot
szerepét, leckéjét betéve/kifogástalanul tudó|word perfect|pathos|diatribe|bucolic
hosszasan, erősen töpreng|rack my brains|ethos|furtive|dearth
nem tartja meg amit ígért/mondott|go back on his words|logos|intransigent|effulgent
